name,type,np,ax,ay,bx,by,cx,cy,dx,dy,bb,hh,ang,az,len
beam1,beam,0,0.00000000E+000,6.00000000E+000,0.00000000E+000,1.20000000E+001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam2,beam,0,0.00000000E+000,1.20000000E+001,0.00000000E+000,1.80000000E+001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam3,beam,0,6.00000000E+000,6.00000000E+000,6.00000000E+000,1.20000000E+001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam4,beam,0,6.00000000E+000,1.20000000E+001,6.00000000E+000,1.80000000E+001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam5,beam,0,1.20000000E+001,0.00000000E+000,1.20000000E+001,6.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam6,beam,0,1.20000000E+001,6.00000000E+000,1.20000000E+001,1.20000000E+001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam7,beam,0,1.20000000E+001,1.20000000E+001,1.20000000E+001,1.80000000E+001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam8,beam,0,1.80000000E+001,0.00000000E+000,1.80000000E+001,6.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam9,beam,0,1.80000000E+001,6.00000000E+000,1.80000000E+001,1.20000000E+001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam10,beam,0,1.80000000E+001,1.20000000E+001,1.80000000E+001,1.80000000E+001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam11,beam,0,2.40000000E+001,0.00000000E+000,2.40000000E+001,6.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam12,beam,0,2.40000000E+001,6.00000000E+000,2.40000000E+001,1.20000000E+001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam13,beam,0,2.40000000E+001,1.20000000E+001,2.40000000E+001,1.80000000E+001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam14,beam,0,3.00000000E+001,1.20000000E+001,3.00000000E+001,1.80000000E+001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,4.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam15,beam,0,0.00000000E+000,0.00000000E+000,6.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam16,beam,0,6.00000000E+000,0.00000000E+000,1.20000000E+001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam17,beam,0,1.20000000E+001,0.00000000E+000,1.80000000E+001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam18,beam,0,1.80000000E+001,0.00000000E+000,2.40000000E+001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam19,beam,0,0.00000000E+000,6.00000000E+000,6.00000000E+000,6.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam20,beam,0,6.00000000E+000,6.00000000E+000,1.20000000E+001,6.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam21,beam,0,1.20000000E+001,6.00000000E+000,1.80000000E+001,6.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam22,beam,0,1.80000000E+001,6.00000000E+000,2.40000000E+001,6.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam23,beam,0,2.40000000E+001,6.00000000E+000,3.00000000E+001,6.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam24,beam,0,0.00000000E+000,1.20000000E+001,6.00000000E+000,1.20000000E+001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam25,beam,0,6.00000000E+000,1.20000000E+001,1.20000000E+001,1.20000000E+001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam26,beam,0,1.20000000E+001,1.20000000E+001,1.80000000E+001,1.20000000E+001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam27,beam,0,1.80000000E+001,1.20000000E+001,2.40000000E+001,1.20000000E+001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam28,beam,0,0.00000000E+000,1.80000000E+001,6.00000000E+000,1.80000000E+001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam29,beam,0,6.00000000E+000,1.80000000E+001,1.20000000E+001,1.80000000E+001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam30,beam,0,1.20000000E+001,1.80000000E+001,1.80000000E+001,1.80000000E+001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam31,beam,0,1.80000000E+001,1.80000000E+001,2.40000000E+001,1.80000000E+001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
beam32,beam,0,2.40000000E+001,1.80000000E+001,3.00000000E+001,1.80000000E+001,0.00000000E+000,0.00000000E+000,0.00000000E+000,0.00000000E+000,2.50000000E-001,5.00000000E-001,0.00000000E+000,2.40000000E+001,0.00000000E+000
