time,value
1,-5.12E-04
2,-2.46E-03
3,-6.03E-03
4,-1.08E-02
5,-1.63E-02
6,-2.25E-02
7,-2.97E-02
8,-3.81E-02
9,-4.71E-02
10,-5.50E-02
11,-6.02E-02
12,-6.21E-02
13,-6.19E-02
14,-6.17E-02
15,-6.30E-02
16,-6.53E-02
17,-6.76E-02
18,-6.90E-02
19,-6.83E-02
20,-6.44E-02
21,-5.73E-02
22,-4.81E-02
23,-3.85E-02
24,-2.91E-02
25,-1.76E-02
26,-1.54E-03
27,1.86E-02
28,3.73E-02
29,4.87E-02
30,5.16E-02
31,4.74E-02
32,3.62E-02
33,1.61E-02
34,-1.48E-02
35,-5.62E-02
36,-1.07E-01
37,-1.64E-01
38,-2.21E-01
39,-2.64E-01
40,-2.82E-01
41,-2.62E-01
42,-2.02E-01
43,-1.06E-01
44,1.76E-02
45,1.61E-01
46,3.15E-01
47,4.67E-01
48,6.08E-01
49,7.25E-01
50,8.11E-01
51,8.61E-01
52,8.75E-01
53,8.54E-01
54,8.05E-01
55,7.36E-01
56,6.57E-01
57,5.76E-01
58,4.97E-01
59,4.21E-01
60,3.40E-01
61,2.32E-01
62,7.83E-02
63,-1.20E-01
64,-3.49E-01
65,-5.86E-01
66,-8.03E-01
67,-9.66E-01
68,-1.04E+00
69,-1.01E+00
70,-8.40E-01
71,-5.39E-01
72,-1.20E-01
73,3.86E-01
74,9.30E-01
75,1.45E+00
76,1.91E+00
77,2.26E+00
78,2.49E+00
79,2.60E+00
80,2.59E+00
81,2.46E+00
82,2.22E+00
83,1.87E+00
84,1.38E+00
85,7.29E-01
86,-4.95E-02
87,-9.11E-01
88,-1.81E+00
89,-2.70E+00
90,-3.52E+00
91,-4.22E+00
92,-4.72E+00
93,-4.95E+00
94,-4.86E+00
95,-4.42E+00
96,-3.69E+00
97,-2.74E+00
98,-1.65E+00
99,-5.22E-01
100,5.95E-01
101,1.66E+00
102,2.67E+00
103,3.60E+00
104,4.44E+00
105,5.14E+00
106,5.68E+00
107,5.99E+00
108,6.06E+00
109,5.86E+00
110,5.36E+00
111,4.53E+00
112,3.35E+00
113,1.88E+00
114,2.18E-01
115,-1.53E+00
116,-3.25E+00
117,-4.79E+00
118,-6.01E+00
119,-6.77E+00
120,-6.95E+00
121,-6.49E+00
122,-5.42E+00
123,-3.87E+00
124,-2.11E+00
125,-3.71E-01
126,1.20E+00
127,2.48E+00
128,3.43E+00
129,4.02E+00
130,4.27E+00
131,4.18E+00
132,3.80E+00
133,3.18E+00
134,2.38E+00
135,1.43E+00
136,3.43E-01
137,-8.55E-01
138,-2.11E+00
139,-3.32E+00
140,-4.36E+00
141,-5.06E+00
142,-5.32E+00
143,-5.10E+00
144,-4.45E+00
145,-3.47E+00
146,-2.31E+00
147,-1.11E+00
148,7.59E-03
149,9.77E-01
150,1.77E+00
151,2.41E+00
152,2.92E+00
153,3.32E+00
154,3.57E+00
155,3.67E+00
156,3.57E+00
157,3.24E+00
158,2.66E+00
159,1.87E+00
160,9.22E-01
161,-7.10E-02
162,-1.00E+00
163,-1.78E+00
164,-2.29E+00
165,-2.49E+00
166,-2.39E+00
167,-2.03E+00
168,-1.50E+00
169,-9.28E-01
170,-4.19E-01
171,6.24E-03
172,3.70E-01
173,7.01E-01
174,1.00E+00
175,1.24E+00
176,1.35E+00
177,1.32E+00
178,1.16E+00
179,8.91E-01
180,5.27E-01
181,9.33E-02
182,-3.90E-01
183,-9.01E-01
184,-1.39E+00
185,-1.79E+00
186,-2.03E+00
187,-2.06E+00
188,-1.88E+00
189,-1.52E+00
190,-1.05E+00
191,-5.25E-01
192,-2.41E-02
193,4.21E-01
194,8.07E-01
195,1.15E+00
196,1.45E+00
197,1.71E+00
198,1.93E+00
199,2.08E+00
200,2.15E+00
201,2.13E+00
202,1.99E+00
203,1.75E+00
204,1.43E+00
205,1.01E+00
206,5.19E-01
207,-4.02E-02
208,-6.16E-01
209,-1.14E+00
210,-1.54E+00
211,-1.75E+00
212,-1.72E+00
213,-1.45E+00
214,-9.84E-01
215,-3.64E-01
216,3.44E-01
217,1.08E+00
218,1.80E+00
219,2.44E+00
220,2.92E+00
221,3.18E+00
222,3.21E+00
223,3.01E+00
224,2.53E+00
225,1.77E+00
226,7.70E-01
227,-3.97E-01
228,-1.61E+00
229,-2.75E+00
230,-3.71E+00
231,-4.42E+00
232,-4.80E+00
233,-4.83E+00
234,-4.47E+00
235,-3.72E+00
236,-2.67E+00
237,-1.41E+00
238,-4.08E-02
239,1.33E+00
240,2.59E+00
241,3.66E+00
242,4.47E+00
243,5.01E+00
244,5.30E+00
245,5.27E+00
246,4.93E+00
247,4.29E+00
248,3.39E+00
249,2.22E+00
250,8.01E-01
251,-8.46E-01
252,-2.60E+00
253,-4.29E+00
254,-5.72E+00
255,-6.72E+00
256,-7.18E+00
257,-7.09E+00
258,-6.50E+00
259,-5.51E+00
260,-4.27E+00
261,-2.88E+00
262,-1.43E+00
263,-9.35E-03
264,1.32E+00
265,2.51E+00
266,3.47E+00
267,4.15E+00
268,4.51E+00
269,4.55E+00
270,4.29E+00
271,3.75E+00
272,2.94E+00
273,1.92E+00
274,7.63E-01
275,-4.35E-01
276,-1.56E+00
277,-2.50E+00
278,-3.16E+00
279,-3.48E+00
280,-3.47E+00
281,-3.17E+00
282,-2.66E+00
283,-1.98E+00
284,-1.16E+00
285,-2.40E-01
286,7.51E-01
287,1.76E+00
288,2.72E+00
289,3.54E+00
290,4.13E+00
291,4.40E+00
292,4.30E+00
293,3.83E+00
294,3.05E+00
295,2.08E+00
296,9.95E-01
297,-9.39E-02
298,-1.11E+00
299,-2.00E+00
300,-2.72E+00
301,-3.21E+00
302,-3.48E+00
303,-3.50E+00
304,-3.30E+00
305,-2.89E+00
306,-2.30E+00
307,-1.57E+00
308,-7.49E-01
309,9.45E-02
310,9.17E-01
311,1.68E+00
312,2.34E+00
313,2.86E+00
314,3.18E+00
315,3.27E+00
316,3.12E+00
317,2.74E+00
318,2.16E+00
319,1.46E+00
320,6.80E-01
321,-1.18E-01
322,-8.80E-01
323,-1.56E+00
324,-2.12E+00
325,-2.52E+00
326,-2.76E+00
327,-2.82E+00
328,-2.70E+00
329,-2.41E+00
330,-1.98E+00
331,-1.44E+00
332,-8.29E-01
333,-1.80E-01
334,4.66E-01
335,1.07E+00
336,1.60E+00
337,2.01E+00
338,2.27E+00
339,2.37E+00
340,2.28E+00
341,2.02E+00
342,1.62E+00
343,1.13E+00
344,6.04E-01
345,9.79E-02
346,-3.60E-01
347,-7.60E-01
348,-1.09E+00
349,-1.33E+00
350,-1.48E+00
351,-1.55E+00
352,-1.54E+00
353,-1.47E+00
354,-1.33E+00
355,-1.13E+00
356,-8.47E-01
357,-4.91E-01
358,-7.91E-02
359,3.56E-01
360,7.70E-01
361,1.11E+00
362,1.36E+00
363,1.49E+00
364,1.50E+00
365,1.39E+00
366,1.17E+00
367,8.69E-01
368,5.15E-01
369,1.44E-01
370,-2.07E-01
371,-5.13E-01
372,-7.54E-01
373,-9.17E-01
374,-9.96E-01
375,-9.94E-01
376,-9.27E-01
377,-8.11E-01
378,-6.52E-01
379,-4.52E-01
380,-2.14E-01
381,5.22E-02
382,3.29E-01
383,5.94E-01
384,8.25E-01
385,1.00E+00
386,1.12E+00
387,1.18E+00
388,1.19E+00
389,1.16E+00
390,1.09E+00
391,9.79E-01
392,8.08E-01
393,5.75E-01
394,2.85E-01
395,-4.35E-02
396,-3.90E-01
397,-7.31E-01
398,-1.04E+00
399,-1.31E+00
400,-1.49E+00
401,-1.58E+00
402,-1.55E+00
403,-1.43E+00
404,-1.21E+00
405,-9.29E-01
406,-6.05E-01
407,-2.74E-01
408,2.79E-02
409,2.77E-01
410,4.62E-01
411,5.85E-01
412,6.54E-01
413,6.79E-01
414,6.69E-01
415,6.24E-01
416,5.43E-01
417,4.24E-01
418,2.72E-01
419,1.00E-01
420,-6.85E-02
421,-2.10E-01
422,-3.03E-01
423,-3.41E-01
424,-3.27E-01
425,-2.75E-01
426,-1.99E-01
427,-1.21E-01
428,-7.69E-02
429,-9.38E-02
430,-1.80E-01
431,-3.29E-01
432,-5.26E-01
433,-7.56E-01
434,-9.97E-01
435,-1.22E+00
436,-1.39E+00
437,-1.47E+00
438,-1.44E+00
439,-1.29E+00
440,-1.03E+00
441,-7.09E-01
442,-3.50E-01
443,7.11E-03
444,3.32E-01
445,6.10E-01
446,8.49E-01
447,1.06E+00
448,1.27E+00
449,1.48E+00
450,1.66E+00
451,1.76E+00
452,1.73E+00
453,1.56E+00
454,1.26E+00
455,8.24E-01
456,2.52E-01
457,-4.12E-01
458,-1.11E+00
459,-1.75E+00
460,-2.26E+00
461,-2.55E+00
462,-2.56E+00
463,-2.29E+00
464,-1.78E+00
465,-1.13E+00
466,-4.14E-01
467,3.05E-01
468,9.63E-01
469,1.51E+00
470,1.88E+00
471,2.07E+00
472,2.04E+00
473,1.81E+00
474,1.42E+00
475,9.28E-01
476,4.02E-01
477,-8.41E-02
478,-4.82E-01
479,-7.86E-01
480,-1.00E+00
481,-1.12E+00
482,-1.15E+00
483,-1.11E+00
484,-9.92E-01
485,-8.26E-01
486,-6.40E-01
487,-4.54E-01
488,-2.60E-01
489,-3.66E-02
490,2.16E-01
491,4.81E-01
492,7.28E-01
493,9.29E-01
494,1.06E+00
495,1.12E+00
496,1.12E+00
497,1.06E+00
498,9.68E-01
499,8.47E-01
500,6.89E-01
501,4.75E-01
502,2.03E-01
503,-1.10E-01
504,-4.35E-01
505,-7.43E-01
506,-9.99E-01
507,-1.17E+00
508,-1.22E+00
509,-1.17E+00
510,-1.02E+00
511,-8.27E-01
512,-6.12E-01
513,-4.02E-01
514,-2.07E-01
515,-1.69E-02
516,1.89E-01
517,4.29E-01
518,7.02E-01
519,9.82E-01
520,1.23E+00
521,1.41E+00
522,1.48E+00
523,1.40E+00
524,1.14E+00
525,7.00E-01
526,1.42E-01
527,-4.63E-01
528,-1.02E+00
529,-1.46E+00
530,-1.71E+00
531,-1.75E+00
532,-1.62E+00
533,-1.36E+00
534,-1.03E+00
535,-6.95E-01
536,-4.07E-01
537,-1.94E-01
538,-5.78E-02
539,2.26E-02
540,8.41E-02
541,1.60E-01
542,2.66E-01
543,3.91E-01
544,5.03E-01
545,5.68E-01
546,5.57E-01
547,4.57E-01
548,2.84E-01
549,7.41E-02
550,-1.33E-01
551,-2.99E-01
552,-3.96E-01
553,-4.20E-01
554,-3.82E-01
555,-3.02E-01
556,-2.02E-01
557,-1.06E-01
558,-3.70E-02
559,-1.23E-02
560,-3.17E-02
561,-8.09E-02
562,-1.38E-01
563,-1.77E-01
564,-1.78E-01
565,-1.37E-01
566,-7.60E-02
567,-3.52E-02
568,-5.52E-02
569,-1.58E-01
570,-3.36E-01
571,-5.57E-01
572,-7.71E-01
573,-9.35E-01
574,-1.03E+00
575,-1.04E+00
576,-9.93E-01
577,-9.23E-01
578,-8.59E-01
579,-8.14E-01
580,-7.76E-01
581,-7.17E-01
582,-6.03E-01
583,-4.08E-01
584,-1.25E-01
585,2.33E-01
586,6.37E-01
587,1.05E+00
588,1.43E+00
589,1.75E+00
590,1.99E+00
591,2.13E+00
592,2.18E+00
593,2.17E+00
594,2.10E+00
595,1.98E+00
596,1.80E+00
597,1.54E+00
598,1.19E+00
599,7.47E-01
600,2.04E-01
601,-4.39E-01
602,-1.16E+00
603,-1.91E+00
604,-2.60E+00
605,-3.15E+00
606,-3.48E+00
607,-3.54E+00
608,-3.35E+00
609,-2.94E+00
610,-2.39E+00
611,-1.77E+00
612,-1.13E+00
613,-5.36E-01
614,1.56E-02
615,5.24E-01
616,9.93E-01
617,1.42E+00
618,1.79E+00
619,2.09E+00
620,2.28E+00
621,2.35E+00
622,2.29E+00
623,2.07E+00
624,1.71E+00
625,1.21E+00
626,6.23E-01
627,1.05E-02
628,-5.59E-01
629,-1.03E+00
630,-1.36E+00
631,-1.55E+00
632,-1.59E+00
633,-1.53E+00
634,-1.39E+00
635,-1.20E+00
636,-9.71E-01
637,-7.04E-01
638,-4.02E-01
639,-7.49E-02
640,2.59E-01
641,5.80E-01
642,8.68E-01
643,1.10E+00
