frame,node,dx,dy
0,1,0,0
0,2,0,0
0,3,0,0
0,4,0,0
0,5,0,0
0,6,0,0
0,7,0,0
0,8,0,0
0,9,0,0
0,10,0,0
0,11,0,0
0,12,0,0
0,13,0,0
0,14,0,0
1,1,0,0
1,2,0.930782,-2.610111
1,3,-0.707258,-2.709214
1,4,0,0
1,5,1.419573,-7.530055
1,6,-1.025992,-7.60016
1,7,1.583938,-13.192794
1,8,-1.078671,-13.195065
1,9,0.526335,-0.856755
1,10,-0.41021,-0.967101
1,11,1.223277,-4.89942
1,12,-0.907527,-4.983836
1,13,1.534759,-10.339309
1,14,-1.077793,-10.394678
2,1,0,0
2,2,0.930782,-2.610111
2,3,-0.707258,-2.709214
2,4,0,0
2,5,1.419573,-7.530055
2,6,-1.025992,-7.60016
2,7,1.583938,-13.192794
2,8,-1.078671,-13.195065
2,9,0.526335,-0.856755
2,10,-0.41021,-0.967101
2,11,1.223277,-4.89942
2,12,-0.907527,-4.983836
2,13,1.534759,-10.339309
2,14,-1.077793,-10.394678
