item,no,ki,kj
element,1,1,2
element,2,3,4
element,3,5,6
element,4,7,8
element,5,9,10
element,6,11,12
element,7,13,14
element,8,15,16
element,9,17,18
element,10,19,20
element,11,21,22
element,12,23,24
element,13,25,26
element,14,27,28
element,15,29,30
element,16,31,32
element,17,2,4
element,18,4,6
element,19,6,8
element,20,10,12
element,21,12,14
element,22,14,16
element,23,18,20
element,24,20,22
element,25,22,24
element,26,26,28
element,27,28,30
element,28,30,32
element,29,2,10
element,30,10,18
element,31,18,26
element,32,4,12
element,33,12,20
element,34,20,28
element,35,6,14
element,36,14,22
element,37,22,30
element,38,8,16
element,39,16,24
element,40,24,32
element,41,33,1
element,42,34,3
element,43,35,5
element,44,36,7
element,45,37,9
element,46,38,11
element,47,39,13
element,48,40,15
element,49,41,17
element,50,42,19
element,51,43,21
element,52,44,23
element,53,45,25
element,54,46,27
element,55,47,29
element,56,48,31
element,57,1,3
element,58,3,5
element,59,5,7
element,60,9,11
element,61,11,13
element,62,13,15
element,63,17,19
element,64,19,21
element,65,21,23
element,66,25,27
element,67,27,29
element,68,29,31
element,69,1,9
element,70,9,17
element,71,17,25
element,72,3,11
element,73,11,19
element,74,19,27
element,75,5,13
element,76,13,21
element,77,21,29
element,78,7,15
element,79,15,23
element,80,23,31
element,81,49,33
element,82,50,34
element,83,51,35
element,84,52,36
element,85,53,37
element,86,54,38
element,87,55,39
element,88,56,40
element,89,57,41
element,90,58,42
element,91,59,43
element,92,60,44
element,93,61,45
element,94,62,46
element,95,63,47
element,96,64,48
element,97,33,34
element,98,34,35
element,99,35,36
element,100,37,38
element,101,38,39
element,102,39,40
element,103,41,42
element,104,42,43
element,105,43,44
element,106,45,46
element,107,46,47
element,108,47,48
element,109,33,37
element,110,37,41
element,111,41,45
element,112,34,38
element,113,38,42
element,114,42,46
element,115,35,39
element,116,39,43
element,117,43,47
element,118,36,40
element,119,40,44
element,120,44,48
element,121,65,49
element,122,66,50
element,123,67,51
element,124,68,52
element,125,69,53
element,126,70,54
element,127,71,55
element,128,72,56
element,129,73,57
