item,no,px,py,pz
node,1,0.00E+00,0.00E+00,5.70E+04
node,2,0.00E+00,0.00E+00,6.00E+04
node,3,0.00E+00,6.00E+03,5.70E+04
node,4,0.00E+00,6.00E+03,6.00E+04
node,5,0.00E+00,1.20E+04,5.70E+04
node,6,0.00E+00,1.20E+04,6.00E+04
node,7,0.00E+00,1.80E+04,5.70E+04
node,8,0.00E+00,1.80E+04,6.00E+04
node,9,6.00E+03,0.00E+00,5.70E+04
node,10,6.00E+03,0.00E+00,6.00E+04
node,11,6.00E+03,6.00E+03,5.70E+04
node,12,6.00E+03,6.00E+03,6.00E+04
node,13,6.00E+03,1.20E+04,5.70E+04
node,14,6.00E+03,1.20E+04,6.00E+04
node,15,6.00E+03,1.80E+04,5.70E+04
node,16,6.00E+03,1.80E+04,6.00E+04
node,17,1.20E+04,0.00E+00,5.70E+04
node,18,1.20E+04,0.00E+00,6.00E+04
node,19,1.20E+04,6.00E+03,5.70E+04
node,20,1.20E+04,6.00E+03,6.00E+04
node,21,1.20E+04,1.20E+04,5.70E+04
node,22,1.20E+04,1.20E+04,6.00E+04
node,23,1.20E+04,1.80E+04,5.70E+04
node,24,1.20E+04,1.80E+04,6.00E+04
node,25,1.80E+04,0.00E+00,5.70E+04
node,26,1.80E+04,0.00E+00,6.00E+04
node,27,1.80E+04,6.00E+03,5.70E+04
node,28,1.80E+04,6.00E+03,6.00E+04
node,29,1.80E+04,1.20E+04,5.70E+04
node,30,1.80E+04,1.20E+04,6.00E+04
node,31,1.80E+04,1.80E+04,5.70E+04
node,32,1.80E+04,1.80E+04,6.00E+04
node,33,0.00E+00,0.00E+00,5.40E+04
node,34,0.00E+00,6.00E+03,5.40E+04
node,35,0.00E+00,1.20E+04,5.40E+04
node,36,0.00E+00,1.80E+04,5.40E+04
node,37,6.00E+03,0.00E+00,5.40E+04
node,38,6.00E+03,6.00E+03,5.40E+04
node,39,6.00E+03,1.20E+04,5.40E+04
node,40,6.00E+03,1.80E+04,5.40E+04
