PMM_CURVE_DATA
          P,         MX,         MY,
 -59218.923,      0.000,    269.133,
 -35657.227,      0.000,  10368.779,
 -35386.721,      0.000,  10470.647,
 -35100.728,      0.000,  10578.116,
 -34796.343,      0.000,  10691.184,
 -34473.548,      0.000,  10810.818,
 -34130.753,      0.000,  10937.639,
 -33765.737,      0.000,  11072.210,
 -33376.635,      0.000,  11215.365,
 -32958.550,      0.000,  11367.105,
 -32505.364,      0.000,  11527.131,
 -32015.779,      0.000,  11697.030,
 -31485.102,      0.000,  11877.490,
 -30910.555,      0.000,  12070.261,
 -30290.478,      0.000,  12278.069,
 -29618.467,      0.000,  12502.402,
 -28877.283,      0.000,  12740.634,
 -28060.785,      0.000,  12995.247,
 -27168.906,      0.000,  13272.767,
 -26175.732,      0.000,  13568.596,
 -25070.865,      0.000,  13886.413,
 -23832.766,      0.000,  14225.433,
 -22446.024,      0.000,  14589.962,
 -20883.657,      0.000,  14979.492,
 -19093.867,      0.000,  15375.636,
 -17062.472,      0.000,  15786.919,
 -14747.298,      0.000,  16200.519,
 -12100.481,      0.000,  16588.175,
  -9091.843,      0.000,  16920.451,
  -5709.106,      0.000,  17154.917,
  -1975.962,      0.000,  17237.722,
   2044.103,      0.000,  17237.760,
   6310.166,      0.000,  17126.065,
  10672.929,      0.000,  16759.360,
  14964.746,      0.000,  16163.102,
  19047.667,      0.000,  15385.774,
  22835.450,      0.000,  14487.991,
  26302.131,      0.000,  13531.797,
  29446.557,      0.000,  12558.738,
  32294.661,      0.000,  11600.619,
  34855.736,      0.000,  10669.172,
  37191.683,      0.000,   9784.986,
  39298.589,      0.000,   8943.380,
  41230.843,      0.000,   8152.882,
  42987.681,      0.000,   7407.647,
  44613.462,      0.000,   6710.258,
  46111.967,      0.000,   6055.640,
  46290.483,      0.000,   5302.750,
  47760.338,      0.000,   4761.685,
  49121.317,      0.000,   4246.597,
  50390.959,      0.000,   3757.232,
  51570.611,      0.000,   3291.857,
  52666.400,      0.000,   2849.281,
  53689.063,      0.000,   2428.574,
  54643.711,      0.000,   2028.494,
  55536.616,      0.000,   1647.910,
  56373.248,      0.000,   1285.710,
  57151.776,      0.000,    940.709,
  57881.738,      0.000,    612.053,
  58557.177,      0.000,    298.734,
  59051.421,      0.000,      0.000,
  59051.421,      0.000,      0.000,
  58557.177,      0.000,   -298.734,
  57881.738,      0.000,   -612.053,
  57151.776,      0.000,   -940.709,
  56373.248,      0.000,  -1285.710,
  55536.616,      0.000,  -1647.910,
  54643.711,      0.000,  -2028.494,
  53689.063,      0.000,  -2428.574,
  52666.400,      0.000,  -2849.281,
  51570.611,      0.000,  -3291.857,
  50390.959,      0.000,  -3757.232,
  49121.317,      0.000,  -4246.597,
  47760.338,      0.000,  -4761.685,
  46290.483,      0.000,  -5302.750,
  46111.967,      0.000,  -6055.640,
  44613.462,      0.000,  -6710.258,
  42987.681,      0.000,  -7407.647,
  41230.843,      0.000,  -8152.882,
  39298.589,      0.000,  -8943.380,
  37191.683,      0.000,  -9784.986,
  34855.736,      0.000, -10669.172,
  32294.661,      0.000, -11600.619,
  29446.557,      0.000, -12558.738,
  26302.131,      0.000, -13531.797,
  22835.450,      0.000, -14487.991,
  19047.667,      0.000, -15385.774,
  14964.746,      0.000, -16163.102,
  10672.929,      0.000, -16759.360,
   6310.166,      0.000, -17126.065,
   2044.103,      0.000, -17237.760,
  -1975.962,      0.000, -17237.722,
  -5709.106,      0.000, -17154.917,
  -9091.843,      0.000, -16920.451,
 -12100.481,      0.000, -16588.175,
 -14747.298,      0.000, -16200.519,
 -17062.472,      0.000, -15786.919,
